,Epochs,bat_per_epo,max_bat_per_epo,d_loss,g_loss
0,10,234,234,0.6849618554115295,0.7371763586997986
1,20,234,234,0.691895067691803,0.7343670129776001
2,30,234,234,0.6944258213043213,0.6579000353813171
3,40,234,234,0.6871494650840759,0.7032015323638916
4,50,234,234,0.692706823348999,0.7074992656707764
