,Epochs,bat_per_epo,max_bat_per_epo,d_loss,g_loss
0,10,234,234,0.6854780316352844,0.6875612139701843
1,20,234,234,0.6824522614479065,0.6818382740020752
2,30,234,234,0.690007209777832,0.6713457107543945
3,40,234,234,0.6956017017364502,0.731676459312439
4,50,234,234,0.6877481341362,0.6704695224761963
