,Epochs,bat_per_epo,max_bat_per_epo,d_loss,g_loss
0,10,468,468,0.6800846457481384,0.7490488290786743
1,20,468,468,0.6906638145446777,0.6658673286437988
2,30,468,468,0.6843301057815552,0.7195279598236084
3,40,468,468,0.6876731514930725,0.733820378780365
4,50,468,468,0.6890988945960999,0.6916362643241882
